event,host_city,year,host_country,event_url,section,artist,song,artist_url,image_url,artist_country,country_emoji,running_order,total_points,rank,rank_ordinal,qualified,winner
Turin 2022,Turin,2022,Italy,https://eurovision.tv/event/turin-2022,first-semi-final,Kalush Orchestra,Stefania,https://eurovision.tv/participant/kalush-orchestra-22,https://static.eurovision.tv/hb-cgi/images/963164d0-060d-4667-96b6-0b0cf1f797e6/avatar_small.jpg,Ukraine,:flag_ua:,6.0,337.0,1.0,1st,True,False
Turin 2022,Turin,2022,Italy,https://eurovision.tv/event/turin-2022,first-semi-final,S10,De Diepte,https://eurovision.tv/participant/s10-22,https://static.eurovision.tv/hb-cgi/images/96316719-75b2-415a-a60d-1c2dbdbd7eee/avatar_small.jpg,Netherlands,:flag_nl:,8.0,221.0,2.0,2nd,True,False
Turin 2022,Turin,2022,Italy,https://eurovision.tv/event/turin-2022,first-semi-final,Amanda Georgiadi Tenfjord,Die Together,https://eurovision.tv/participant/amanda-georgiadi-tenfjord-22,https://static.eurovision.tv/hb-cgi/images/9633696f-e238-4d32-8c27-c99ee0cecb6c/avatar_small.jpg,Greece,:flag_gr:,15.0,211.0,3.0,3rd,True,False
Turin 2022,Turin,2022,Italy,https://eurovision.tv/event/turin-2022,first-semi-final,MARO,"Saudade, Saudade",https://eurovision.tv/participant/maro-22,https://static.eurovision.tv/hb-cgi/images/96336bae-9891-466a-b723-a3281c80f61d/avatar_small.jpg,Portugal,:flag_pt:,10.0,208.0,4.0,4th,True,False
Turin 2022,Turin,2022,Italy,https://eurovision.tv/event/turin-2022,first-semi-final,Intelligent Music Project,Intention,https://eurovision.tv/participant/intelligent-music-project-22,https://static.eurovision.tv/hb-cgi/images/963166b3-81d6-409e-8a0a-12c176e1156d/avatar_small.jpg,Bulgaria,:flag_bg:,7.0,29.0,16.0,16th,False,False
Turin 2022,Turin,2022,Italy,https://eurovision.tv/event/turin-2022,first-semi-final,LPS,Disko,https://eurovision.tv/participant/lps-22,https://static.eurovision.tv/hb-cgi/images/96316379-9142-4117-a56c-bffa8aaf1011/avatar_small.jpg,Slovenia,:flag_si:,5.0,15.0,17.0,17th,False,False
Turin 2022,Turin,2022,Italy,https://eurovision.tv/event/turin-2022,first-semi-final,Rosa Linn,Snap,https://eurovision.tv/participant/rosa-linn-22,https://static.eurovision.tv/hb-cgi/images/96336d8d-6b40-42b1-b25f-f99eafffc244/avatar_small.jpg,Armenia,:flag_am:,17.0,187.0,5.0,5th,True,False
Turin 2022,Turin,2022,Italy,https://eurovision.tv/event/turin-2022,first-semi-final,Subwoolfer,Give That Wolf A Banana,https://eurovision.tv/participant/subwoolfer-22,https://static.eurovision.tv/hb-cgi/images/96336df0-62dc-45a6-85ed-84ad27da5f3d/avatar_small.jpg,Norway,:flag_no:,16.0,177.0,6.0,6th,True,False
Turin 2022,Turin,2022,Italy,https://eurovision.tv/event/turin-2022,first-semi-final,Monika Liu,Sentimentai,https://eurovision.tv/participant/monika-liu-22,https://static.eurovision.tv/hb-cgi/images/96301c95-81f1-444c-a503-b7dad4df419b/avatar_small.jpg,Lithuania,:flag_lt:,3.0,159.0,7.0,7th,True,False
Turin 2022,Turin,2022,Italy,https://eurovision.tv/event/turin-2022,first-semi-final,Zdob şi Zdub & Advahov Brothers,Trenulețul,https://eurovision.tv/participant/zdob-si-zdub-and-fratii-advahov-22,https://static.eurovision.tv/hb-cgi/images/96318be3-1473-4ad6-8270-e18043886fd9/avatar_small.jpg,Moldova,:flag_md:,9.0,154.0,8.0,8th,True,False
Turin 2022,Turin,2022,Italy,https://eurovision.tv/event/turin-2022,first-semi-final,Marius Bear,Boys Do Cry,https://eurovision.tv/participant/marius-bear-22,https://static.eurovision.tv/hb-cgi/images/96302a24-552a-4dfc-8e2d-16ff0209fe55/avatar_small.jpg,Switzerland,:flag_ch:,4.0,118.0,9.0,9th,True,False
Turin 2022,Turin,2022,Italy,https://eurovision.tv/event/turin-2022,first-semi-final,Systur,Með Hækkandi Sól,https://eurovision.tv/participant/systur-22,https://static.eurovision.tv/hb-cgi/images/96336e44-88f3-497e-9cc7-fa57d3bbce04/avatar_small.jpg,Iceland,:flag_is:,14.0,103.0,10.0,10th,True,False
Turin 2022,Turin,2022,Italy,https://eurovision.tv/event/turin-2022,first-semi-final,Mia Dimšić,Guilty Pleasure,https://eurovision.tv/participant/mia-dimsic-22,https://static.eurovision.tv/hb-cgi/images/96336c20-9c75-4d10-b4e7-c87177ebfb83/avatar_small.jpg,Croatia,:flag_hr:,11.0,75.0,11.0,11th,False,False
Turin 2022,Turin,2022,Italy,https://eurovision.tv/event/turin-2022,first-semi-final,Ronela Hajati,Sekret,https://eurovision.tv/participant/ronela-hajati-22,https://static.eurovision.tv/hb-cgi/images/96302a8e-8933-4809-afef-36af63b2b0cf/avatar_small.jpg,Albania,:flag_al:,1.0,58.0,12.0,12th,False,False
